"n_obs","se_pct","adj_r2","dw","lm_het_pval","lm_het_pval_no_events","het_diagnosis","ar1_pval","ar4_pval","chow_pval","chow_method","reset_pval","schwarz","loglik","specification","period"
146,0.845563873194632,0.730907319102217,2.31529355259724,0.00000306189683984281,0.00000020867521628816,"structural",0.0264617819781098,0.0931227600156522,0.684859079940936,"manual_common_coef",0.00000194894655727944,-919.326487395553,497.040293360589,"Spec1_LogNetWorth","full"
86,0.98859544508073,0.771617945596571,2.43772902462406,0.000103920074338313,0.0000206405228537791,"structural",0.0195727885614799,0.165084629627948,0.989031459816593,"manual_common_coef",0.00318149600712415,-501.738192387251,282.0495272674,"Spec2_LogNetWorth_CCI","full"
146,0.845221013620998,0.731125498472814,2.31727470781146,0.0000052972282445504,0.000000373753624836118,"structural",0.0254970410393687,0.0881393942439097,0.683949673058558,"manual_common_coef",0.00000192949846737461,-919.444911681995,497.09950550381,"Spec3_LevelNetWorth","full"
146,0.852652186126173,0.726376832270036,2.31892622511817,0.0000275452364313951,0.00000306598095062882,"structural",0.0179238800352107,0.0674505758614995,0.0636493046407215,"manual_common_coef",0.0000000103209061751021,-905.294521100193,497.499720145471,"Spec4_Disagg_NoCCI","full"
86,0.920830022816519,0.801854731498153,2.2517594790381,0.000143847809922779,0.0000473219825228371,"structural",0.107001995479541,0.0868918424851135,0.0190778694053095,"sctest",0.000108643066697358,-494.601729081335,291.844337503202,"Spec5_FullDisagg","full"
86,0.914984285470794,0.804362531011019,2.1498002895762,0.000138513399129592,0.0000484446933077979,"structural",0.339181560089037,0.300501929670512,0.954836643501801,"manual_common_coef",0.000332472688143169,-492.536033491862,293.038663356593,"Spec6_Preferred","full"
180,0.830256013117946,0.703069508470054,2.12110452409853,0.00000142398305089817,0.000000195852341668426,"structural",0.275372410422868,0.134257093198867,0.0000384442170294051,"manual_common_coef",0.00000105088770240251,-1113.98804221474,619.309503318051,"Spec6b_LongHistSRCCI","full"
86,0.841928637487754,0.834356145112435,2.21166958570884,0.00241136954180357,0.00103841087458057,"structural",0.203497684937153,0.0499048962722876,0.999996266175521,"manual_common_coef",0.018180075491705,-500.58610254215,301.51804517799,"Spec7_CohortBurden","full"
64,0.837772711511356,0.872263205809174,2.15957474475494,0.00303823627522084,0.00193463633681168,"structural",0.326632560693125,0.00375504346882738,NA,NA,0.108827512531725,-364.451014306084,227.973221069998,"Spec7b_RBABurden","full"
146,0.678754023394641,0.826606073816533,1.91543502358624,0.000000253166147461998,0.0000000366925575532568,"structural",0.494358837482382,0.0572336061836683,0.15057913249196,"sctest",0.00120554500656374,-952.751120693256,533.687036496274,"Spec8_CCI_Interactions","full"
146,0.839627664007268,0.734672341055603,2.17888582438823,0.00012241729782648,0.0000223388680180966,"structural",0.139965533486405,0.0182075619656045,0.000000215227733342102,"manual_common_coef",0.0000000107055274097862,-890.642797328116,502.632874813704,"Spec9_KalmanCCI","full"
86,0.981316484176645,0.772536153688019,2.22308310390282,0.000777204706442931,0.000230482760896964,"structural",0.186349677921155,0.142214205490441,0.353376034812684,"manual_common_coef",0.0353201971951753,-493.255181212198,284.489542624254,"Spec10_WilliamsPrior","full"
146,0.682974147051205,0.824443232559855,1.90294005738319,0.0000000166058753403828,0.00000000204777885722386,"structural",0.448292851605497,0.0554402387448037,0.0066472836473046,"manual_common_coef",0.0014555105739045,-954.752153533781,532.195749605682,"Spec11_LIVES_Headline","full"
146,0.910670648883842,0.686704282892339,2.14110928222165,0.00000783012200693191,0.000000667302664271064,"structural",0.317478308030131,0.00986324089501748,0.000136707377557561,"manual_common_coef",0.01689656545316,-893.793294687552,486.765500317443,"Spec12_LIVES_Calibrated","full"
126,0.532986164105643,0.169095740240446,1.77471857355211,0.178326437039974,0.110174597653633,"structural",0.155030846465208,0.0254211313525323,0.00517680671679888,"manual_common_coef",0.262334235697394,-914.978538767284,486.506960825351,"Spec1_LogNetWorth","precovid"
66,0.506079102205478,0.256974224525245,2.11006648890317,0.0354547817845233,0.0252408744732165,"structural",0.594355395221224,0.41045712082857,0.00000861029135687094,"manual_common_coef",0.237860690532761,-475.24060012487,260.66340114358,"Spec2_LogNetWorth_CCI","precovid"
126,0.533519212268614,0.167432907315814,1.77203823600341,0.182761138064126,0.113566587216182,"structural",0.151408566258129,0.025590482247798,0.00578259408660344,"manual_common_coef",0.247784755346518,-914.726635399088,486.381009141253,"Spec3_LevelNetWorth","precovid"
126,0.51546934086364,0.222814313184379,1.85316803389516,0.351677692359542,0.269657059435492,"structural",0.36119097348143,0.160989934626006,0.0000489612591876298,"sctest",0.0650317112050187,-912.221528257345,492.382878430809,"Spec4_Disagg_NoCCI","precovid"
66,0.478556104382339,0.335595152853786,2.14900913920948,0.651128278763188,0.607129074699766,"structural",0.436525236176219,0.825685663438117,0.00798060680293505,"manual_common_coef",0.865434876880957,-464.9637429925,268.093936803475,"Spec5_FullDisagg","precovid"
66,0.472795601098398,0.351494108618224,2.18237703018382,0.476409237280266,0.43512594556007,"structural",0.331202635897415,0.774891815902368,0.0273673620022307,"manual_common_coef",0.142866900935012,-463.706025536341,269.559905446408,"Spec6_Preferred","precovid"
160,0.604998576699057,0.208457147791033,1.89978306449432,0.159963528438998,0.115653325488678,"structural",0.468580797820215,0.380602305272971,0.218949126547411,"manual_common_coef",0.934421446312552,-1095.18983711634,600.884243618126,"Spec6b_LongHistSRCCI","precovid"
66,0.466407911509287,0.36889897056725,2.36250699030526,0.488597705915367,0.451193542657077,"structural",0.0523303301509152,0.290231150378558,0.0142338553275309,"manual_common_coef",0.119293974579658,-459.872652501204,271.832873670866,"Spec7_CohortBurden","precovid"
44,0.31920686342746,0.224106226207997,3.19296585987049,0.352788846519772,NA,"ok",0.00000439688601686324,0.000019966400453319,NA,NA,0.0366560775155037,-332.125478847081,202.012540945764,"Spec7b_RBABurden","precovid"
