knot,knot_date,sign_prior,c_sign,h_sign,m_sign,w_sign,c_estimate,h_estimate,m_estimate,w_estimate,c_pass,h_pass,m_pass,w_pass,n_estimated,joint_pass_3eq,joint_pass
sdmma_1979_01,1979-01-01,1,1,-1,-1,1,0.008472855352042277,-0.0030627026894164784,-0.007260631076527619,0.006253126682344588,TRUE,FALSE,FALSE,TRUE,4,FALSE,FALSE
sdmma_1986_01,1986-01-01,1,1,1,1,1,0.009288979986775824,0.0043722385528621,0.009999990909654472,0.004681180184670855,TRUE,TRUE,TRUE,TRUE,4,TRUE,TRUE
sdmma_1990_09,1990-09-01,-1,1,-1,-1,-1,0.011170278094282528,-0.01350322093144565,-0.017776130618731414,-0.02366963199926531,FALSE,TRUE,TRUE,TRUE,4,FALSE,FALSE
sdmma_1992_01,1992-01-01,-1,-1,1,1,1,-0.00924909379642179,0.01117218349823348,0.010046817961891823,0.012061710621805225,TRUE,FALSE,FALSE,FALSE,4,FALSE,FALSE
sdmma_1993_01,1993-01-01,-1,1,-1,1,1,0.006231073103664728,-0.021740831364265054,0.02328650306479396,0.017039960597816473,FALSE,TRUE,FALSE,FALSE,4,FALSE,FALSE
sdmma_1998_09,1998-09-01,1,-1,1,1,1,-0.005786557257743155,0.023869974702556924,0.0037210913823179322,0.007906916326941425,FALSE,TRUE,TRUE,TRUE,4,FALSE,FALSE
sdmma_2007_09,2007-09-01,-1,-1,1,-1,-1,-0.00357647367450148,0.021759524875575077,-0.02136563071282546,-0.015770618959064776,TRUE,FALSE,TRUE,TRUE,4,FALSE,FALSE
sdmma_2008_12,2008-12-01,-1,1,-1,1,1,0.017745699439625628,-0.01992721660354442,0.003131479218449,0.0032835912335101407,FALSE,TRUE,FALSE,FALSE,4,FALSE,FALSE
sdmma_2009_01,2009-01-01,1,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,0,FALSE,FALSE
sdmma_2014_12,2014-12-01,-1,1,-1,1,-1,0.0020709398151591524,-0.009790033499788454,0.0010107908349826385,-0.014671192155408174,FALSE,TRUE,FALSE,TRUE,4,FALSE,FALSE
sdmma_2017_03,2017-03-01,-1,-1,-1,-1,1,-0.0024921424541934304,-0.0176138074535059,-0.004391769291297099,0.0018471143727886137,TRUE,TRUE,TRUE,FALSE,4,TRUE,FALSE
sdmma_2019_01,2019-01-01,-1,1,-1,-1,-1,0.004687266343759373,-0.007160002142129196,-0.01706684942690011,-0.017967540488573564,FALSE,TRUE,TRUE,TRUE,4,FALSE,FALSE
sdmma_2019_09,2019-09-01,1,-1,1,1,1,-0.15538272192749694,0.08981260453910961,0.053074189615324244,0.011800354737577434,FALSE,TRUE,TRUE,TRUE,4,FALSE,FALSE
sdmma_2020_04,2020-04-01,1,1,-1,-1,1,0.13827895481377422,-0.02843740959037144,-0.05813492347274588,0.004825545364554679,TRUE,FALSE,FALSE,TRUE,4,FALSE,FALSE
sdmma_2021_12,2021-12-01,-1,1,1,-1,-1,0.011910193876431302,0.0044002490263660415,-0.006383253421481738,-0.014436698770994405,FALSE,FALSE,TRUE,TRUE,4,FALSE,FALSE
